report_date,user_id,user_principal_name,display_name,service,spending_policy_name,total_tasks,scheduled_tasks,user_initiated_tasks,credits_consumed,last_activity_date,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-09-05,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,12,2,10,915,2026-09-05,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,robin.hale,robin.hale@contoso.com,Robin Hale,Cowork,Cowork - Retail Ops,6,2,4,410,2026-09-05,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-05,batch-2026-09-04,MOCK
2026-09-04,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,20,3,17,1669,2026-09-04,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,31,9,22,2423,2026-09-04,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,19,5,14,1647,2026-09-04,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,sam.chen,sam.chen@contoso.com,Sam Chen,Cowork,Cowork - Discovery,5,2,3,335,2026-09-04,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-04,batch-2026-09-04,MOCK
2026-09-03,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,16,4,12,1349,2026-09-03,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,13,4,9,1145,2026-09-03,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,18,4,14,1392,2026-09-03,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,sam.chen,sam.chen@contoso.com,Sam Chen,Cowork,Cowork - Discovery,3,2,1,252,2026-09-03,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-03,batch-2026-09-04,MOCK
2026-09-02,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,21,4,17,1497,2026-09-02,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-02,batch-2026-09-04,MOCK
2026-09-02,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,20,9,11,1906,2026-09-02,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-02,batch-2026-09-04,MOCK
2026-09-02,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,24,2,22,1978,2026-09-02,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-02,batch-2026-09-04,MOCK
2026-09-01,aisha.rahman,aisha.rahman@contoso.com,Aisha Rahman,Cowork,Cowork - Claims,3,1,2,196,2026-09-01,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-01,batch-2026-09-04,MOCK
2026-09-01,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,26,4,22,2297,2026-09-01,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-01,batch-2026-09-04,MOCK
2026-09-01,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,21,9,12,1706,2026-09-01,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-01,batch-2026-09-04,MOCK
2026-09-01,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,26,4,22,2159,2026-09-01,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-01,batch-2026-09-04,MOCK
2026-09-01,robin.hale,robin.hale@contoso.com,Robin Hale,Cowork,Cowork - Retail Ops,2,0,2,129,2026-09-01,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-01,batch-2026-09-04,MOCK
