usageDate,tenantId,consumerId,consumerType,capability,meterId,meterName,billingType,creditsConsumed,unitPriceUsd,costUsd,currency,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-03,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,222,0.01,2.22,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-03,batch-2026-09-04,MOCK
2026-08-03,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,270,0.01,2.7,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-03,batch-2026-09-04,MOCK
2026-08-03,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,284,0.01,2.84,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-03,batch-2026-09-04,MOCK
2026-08-03,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,270,0.01,2.7,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-03,batch-2026-09-04,MOCK
2026-08-03,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,85,0.01,0.85,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-03,batch-2026-09-04,MOCK
2026-08-04,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,245,0.01,2.45,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-04,batch-2026-09-04,MOCK
2026-08-04,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,227,0.01,2.27,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-04,batch-2026-09-04,MOCK
2026-08-04,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,148,0.01,1.48,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-04,batch-2026-09-04,MOCK
2026-08-04,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,113,0.01,1.13,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-04,batch-2026-09-04,MOCK
2026-08-04,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,76,0.01,0.76,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-04,batch-2026-09-04,MOCK
2026-08-05,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,318,0.01,3.18,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-05,batch-2026-09-04,MOCK
2026-08-05,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,95,0.01,0.95,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-05,batch-2026-09-04,MOCK
2026-08-05,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,153,0.01,1.53,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-05,batch-2026-09-04,MOCK
2026-08-05,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,24,0.01,0.24,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-05,batch-2026-09-04,MOCK
2026-08-05,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,206,0.01,2.06,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-05,batch-2026-09-04,MOCK
2026-08-06,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,272,0.01,2.72,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-06,batch-2026-09-04,MOCK
2026-08-06,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,165,0.01,1.65,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-06,batch-2026-09-04,MOCK
2026-08-06,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,246,0.01,2.46,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-06,batch-2026-09-04,MOCK
2026-08-06,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,337,0.01,3.37,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-06,batch-2026-09-04,MOCK
2026-08-06,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,217,0.01,2.17,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-06,batch-2026-09-04,MOCK
2026-08-07,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,219,0.01,2.19,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-07,batch-2026-09-04,MOCK
2026-08-07,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,221,0.01,2.21,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-07,batch-2026-09-04,MOCK
2026-08-07,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,114,0.01,1.14,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-07,batch-2026-09-04,MOCK
2026-08-07,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,240,0.01,2.4,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-07,batch-2026-09-04,MOCK
2026-08-07,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,361,0.01,3.61,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-07,batch-2026-09-04,MOCK
2026-08-08,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,277,0.01,2.77,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-08,batch-2026-09-04,MOCK
2026-08-08,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,215,0.01,2.15,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-08,batch-2026-09-04,MOCK
2026-08-08,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,169,0.01,1.69,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-08,batch-2026-09-04,MOCK
2026-08-08,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,286,0.01,2.86,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-08,batch-2026-09-04,MOCK
2026-08-08,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,279,0.01,2.79,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-08,batch-2026-09-04,MOCK
2026-08-09,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,134,0.01,1.34,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-09,batch-2026-09-04,MOCK
2026-08-09,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,245,0.01,2.45,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-09,batch-2026-09-04,MOCK
2026-08-09,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,171,0.01,1.71,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-09,batch-2026-09-04,MOCK
2026-08-09,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,188,0.01,1.88,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-09,batch-2026-09-04,MOCK
2026-08-09,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,173,0.01,1.73,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-09,batch-2026-09-04,MOCK
2026-08-10,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,122,0.01,1.22,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-10,batch-2026-09-04,MOCK
2026-08-10,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,155,0.01,1.55,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-10,batch-2026-09-04,MOCK
2026-08-10,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,78,0.01,0.78,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-10,batch-2026-09-04,MOCK
2026-08-10,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,259,0.01,2.59,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-10,batch-2026-09-04,MOCK
2026-08-10,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,355,0.01,3.55,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-10,batch-2026-09-04,MOCK
2026-08-11,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,45,0.01,0.45,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-11,batch-2026-09-04,MOCK
2026-08-11,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,190,0.01,1.9,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-11,batch-2026-09-04,MOCK
2026-08-11,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,162,0.01,1.62,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-11,batch-2026-09-04,MOCK
2026-08-11,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,106,0.01,1.06,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-11,batch-2026-09-04,MOCK
2026-08-11,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,171,0.01,1.71,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-11,batch-2026-09-04,MOCK
2026-08-12,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,398,0.01,3.98,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-12,batch-2026-09-04,MOCK
2026-08-12,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,290,0.01,2.9,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-12,batch-2026-09-04,MOCK
2026-08-12,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,35,0.01,0.35,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-12,batch-2026-09-04,MOCK
2026-08-12,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,332,0.01,3.32,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-12,batch-2026-09-04,MOCK
2026-08-12,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,350,0.01,3.5,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-12,batch-2026-09-04,MOCK
2026-08-13,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,69,0.01,0.69,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-13,batch-2026-09-04,MOCK
2026-08-13,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,214,0.01,2.14,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-13,batch-2026-09-04,MOCK
2026-08-13,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,232,0.01,2.32,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-13,batch-2026-09-04,MOCK
2026-08-13,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,177,0.01,1.77,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-13,batch-2026-09-04,MOCK
2026-08-13,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,87,0.01,0.87,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-13,batch-2026-09-04,MOCK
2026-08-14,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,126,0.01,1.26,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-14,batch-2026-09-04,MOCK
2026-08-14,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,96,0.01,0.96,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-14,batch-2026-09-04,MOCK
2026-08-14,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,76,0.01,0.76,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-14,batch-2026-09-04,MOCK
2026-08-14,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,399,0.01,3.99,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-14,batch-2026-09-04,MOCK
2026-08-14,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,400,0.01,4.0,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-14,batch-2026-09-04,MOCK
2026-08-15,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,208,0.01,2.08,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-15,batch-2026-09-04,MOCK
2026-08-15,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,184,0.01,1.84,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-15,batch-2026-09-04,MOCK
2026-08-15,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,59,0.01,0.59,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-15,batch-2026-09-04,MOCK
2026-08-15,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,263,0.01,2.63,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-15,batch-2026-09-04,MOCK
2026-08-15,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,388,0.01,3.88,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-15,batch-2026-09-04,MOCK
2026-08-16,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,308,0.01,3.08,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-16,batch-2026-09-04,MOCK
2026-08-16,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,329,0.01,3.29,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-16,batch-2026-09-04,MOCK
2026-08-16,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,145,0.01,1.45,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-16,batch-2026-09-04,MOCK
2026-08-16,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,213,0.01,2.13,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-16,batch-2026-09-04,MOCK
2026-08-16,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,386,0.01,3.86,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-16,batch-2026-09-04,MOCK
2026-08-17,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,174,0.01,1.74,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-17,batch-2026-09-04,MOCK
2026-08-17,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,340,0.01,3.4,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-17,batch-2026-09-04,MOCK
2026-08-17,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,259,0.01,2.59,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-17,batch-2026-09-04,MOCK
